Amazon,IMDB,Yelp,Cleaned Amazon,Cleaned IMDB,Cleaned Yelp,Cleaned Sentence,Tokenized Amazon,Tokenized IMDB,Tokenized Yelp,Stemmed Amazon,Stemmed IMDB,Stemmed Yelp,Filtered Amazon,Filtered IMDB,Filtered Yelp,Tokenized Sentence,Stemmed Sentence,Filtered Sentence,Sentiment
Not a good bargain. 0,,walked in and the place smelled like an old grease trap and only 2 others there eating. 0,not a good bargain 0,,walked in and the place smelled like an old grease trap and only 2 others there eating 0,,"['not', 'a', 'good', 'bargain', '0']",[],"['walked', 'in', 'and', 'the', 'place', 'smelled', 'like', 'an', 'old', 'grease', 'trap', 'and', 'only', '2', 'others', 'there', 'eating', '0']","['not', 'a', 'good', 'bargain', '0']",[],"['walk', 'in', 'and', 'the', 'place', 'smell', 'like', 'an', 'old', 'greas', 'trap', 'and', 'onli', '2', 'other', 'there', 'eat', '0']","['good', 'bargain', '0']",[],"['walk', 'place', 'smell', 'like', 'old', 'greas', 'trap', 'onli', '2', 'eat', '0']",not a good bargain 0 walked in and the place smelled like an old grease trap and only 2 others there eating 0,not a good bargain 0 walk in and the place smell like an old greas trap and onli 2 other there eat 0,good bargain 0 walk place smell like old greas trap onli 2 eat 0,Positive
Well packaged  arrived on time  and works as intended. 1,,The turkey and roast beef were bland. 0,well packaged arrived on time and works as intended 1,,the turkey and roast beef were bland 0,,"['well', 'packaged', 'arrived', 'on', 'time', 'and', 'works', 'as', 'intended', '1']",[],"['the', 'turkey', 'and', 'roast', 'beef', 'were', 'bland', '0']","['well', 'packag', 'arriv', 'on', 'time', 'and', 'work', 'as', 'intend', '1']",[],"['the', 'turkey', 'and', 'roast', 'beef', 'were', 'bland', '0']","['well', 'packag', 'arriv', 'time', 'work', 'intend', '1']",[],"['turkey', 'roast', 'beef', 'bland', '0']",well packaged arrived on time and works as intended 1 the turkey and roast beef were bland 0,well packag arriv on time and work as intend 1 the turkey and roast beef were bland 0,well packag arriv time work intend 1 turkey roast beef bland 0,Neutral
The battery runs down quickly. 0,,This place has it! 1,the battery runs down quickly 0,,this place has it 1,,"['the', 'battery', 'runs', 'down', 'quickly', '0']",[],"['this', 'place', 'has', 'it', '1']","['the', 'batteri', 'run', 'down', 'quickli', '0']",[],"['thi', 'place', 'ha', 'it', '1']","['batteri', 'run', 'quickli', '0']",[],"['thi', 'place', 'ha', '1']",the battery runs down quickly 0 this place has it 1,the batteri run down quickli 0 thi place ha it 1,batteri run quickli 0 thi place ha 1,Neutral
This item worked great  but it broke after 6 months of use. 0,,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old. 0,this item worked great but it broke after 6 months of use 0,,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old 0,,"['this', 'item', 'worked', 'great', 'but', 'it', 'broke', 'after', '6', 'months', 'of', 'use', '0']",[],"['the', 'pan', 'cakes', 'everyone', 'are', 'raving', 'about', 'taste', 'like', 'a', 'sugary', 'disaster', 'tailored', 'to', 'the', 'palate', 'of', 'a', 'six', 'year', 'old', '0']","['thi', 'item', 'work', 'great', 'but', 'it', 'broke', 'after', '6', 'month', 'of', 'use', '0']",[],"['the', 'pan', 'cake', 'everyon', 'are', 'rave', 'about', 'tast', 'like', 'a', 'sugari', 'disast', 'tailor', 'to', 'the', 'palat', 'of', 'a', 'six', 'year', 'old', '0']","['thi', 'item', 'work', 'great', 'broke', '6', 'month', 'use', '0']",[],"['pan', 'cake', 'everyon', 'rave', 'tast', 'like', 'sugari', 'disast', 'tailor', 'palat', 'six', 'year', 'old', '0']",this item worked great but it broke after 6 months of use 0 the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old 0,thi item work great but it broke after 6 month of use 0 the pan cake everyon are rave about tast like a sugari disast tailor to the palat of a six year old 0,thi item work great broke 6 month use 0 pan cake everyon rave tast like sugari disast tailor palat six year old 0,Neutral
The headsets are easy to use and everyone loves them. 1,,I love the Pho and the spring rolls oh so yummy you have to try. 1,the headsets are easy to use and everyone loves them 1,,i love the pho and the spring rolls oh so yummy you have to try 1,,"['the', 'headsets', 'are', 'easy', 'to', 'use', 'and', 'everyone', 'loves', 'them', '1']",[],"['i', 'love', 'the', 'pho', 'and', 'the', 'spring', 'rolls', 'oh', 'so', 'yummy', 'you', 'have', 'to', 'try', '1']","['the', 'headset', 'are', 'easi', 'to', 'use', 'and', 'everyon', 'love', 'them', '1']",[],"['i', 'love', 'the', 'pho', 'and', 'the', 'spring', 'roll', 'oh', 'so', 'yummi', 'you', 'have', 'to', 'tri', '1']","['headset', 'easi', 'use', 'everyon', 'love', '1']",[],"['love', 'pho', 'spring', 'roll', 'oh', 'yummi', 'tri', '1']",the headsets are easy to use and everyone loves them 1 i love the pho and the spring rolls oh so yummy you have to try 1,the headset are easi to use and everyon love them 1 i love the pho and the spring roll oh so yummi you have to tri 1,headset easi use everyon love 1 love pho spring roll oh yummi tri 1,Neutral
This phone works great. 1,,The poor batter to meat ratio made the chicken tenders very unsatisfying. 0,this phone works great 1,,the poor batter to meat ratio made the chicken tenders very unsatisfying 0,,"['this', 'phone', 'works', 'great', '1']",[],"['the', 'poor', 'batter', 'to', 'meat', 'ratio', 'made', 'the', 'chicken', 'tenders', 'very', 'unsatisfying', '0']","['thi', 'phone', 'work', 'great', '1']",[],"['the', 'poor', 'batter', 'to', 'meat', 'ratio', 'made', 'the', 'chicken', 'tender', 'veri', 'unsatisfi', '0']","['thi', 'phone', 'work', 'great', '1']",[],"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tender', 'veri', 'unsatisfi', '0']",this phone works great 1 the poor batter to meat ratio made the chicken tenders very unsatisfying 0,thi phone work great 1 the poor batter to meat ratio made the chicken tender veri unsatisfi 0,thi phone work great 1 poor batter meat ratio made chicken tender veri unsatisfi 0,Neutral
The construction of the headsets is poor. 0,,All I have to say is the food was amazing!!! 1,the construction of the headsets is poor 0,,all i have to say is the food was amazing 1,,"['the', 'construction', 'of', 'the', 'headsets', 'is', 'poor', '0']",[],"['all', 'i', 'have', 'to', 'say', 'is', 'the', 'food', 'was', 'amazing', '1']","['the', 'construct', 'of', 'the', 'headset', 'is', 'poor', '0']",[],"['all', 'i', 'have', 'to', 'say', 'is', 'the', 'food', 'wa', 'amaz', '1']","['construct', 'headset', 'poor', '0']",[],"['say', 'food', 'wa', 'amaz', '1']",the construction of the headsets is poor 0 all i have to say is the food was amazing 1,the construct of the headset is poor 0 all i have to say is the food wa amaz 1,construct headset poor 0 say food wa amaz 1,Neutral
Product was excellent and works better than the verizon one and Boy was it cheaper! 1,,Omelets are to die for! 1,product was excellent and works better than the verizon one and boy was it cheaper 1,,omelets are to die for 1,,"['product', 'was', 'excellent', 'and', 'works', 'better', 'than', 'the', 'verizon', 'one', 'and', 'boy', 'was', 'it', 'cheaper', '1']",[],"['omelets', 'are', 'to', 'die', 'for', '1']","['product', 'wa', 'excel', 'and', 'work', 'better', 'than', 'the', 'verizon', 'one', 'and', 'boy', 'wa', 'it', 'cheaper', '1']",[],"['omelet', 'are', 'to', 'die', 'for', '1']","['product', 'wa', 'excel', 'work', 'better', 'verizon', 'one', 'boy', 'wa', 'cheaper', '1']",[],"['omelet', 'die', '1']",product was excellent and works better than the verizon one and boy was it cheaper 1 omelets are to die for 1,product wa excel and work better than the verizon one and boy wa it cheaper 1 omelet are to die for 1,product wa excel work better verizon one boy wa cheaper 1 omelet die 1,Neutral
The phone loads super! 1,,Everything was fresh and delicious! 1,the phone loads super 1,,everything was fresh and delicious 1,,"['the', 'phone', 'loads', 'super', '1']",[],"['everything', 'was', 'fresh', 'and', 'delicious', '1']","['the', 'phone', 'load', 'super', '1']",[],"['everyth', 'wa', 'fresh', 'and', 'delici', '1']","['phone', 'load', 'super', '1']",[],"['everyth', 'wa', 'fresh', 'delici', '1']",the phone loads super 1 everything was fresh and delicious 1,the phone load super 1 everyth wa fresh and delici 1,phone load super 1 everyth wa fresh delici 1,Neutral
For a product that costs as much as this one does  I expect it to work far better and with greater ease than this thing does. 0,,In summary  this was a largely disappointing dining experience. 0,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does 0,,in summary this was a largely disappointing dining experience 0,,"['for', 'a', 'product', 'that', 'costs', 'as', 'much', 'as', 'this', 'one', 'does', 'i', 'expect', 'it', 'to', 'work', 'far', 'better', 'and', 'with', 'greater', 'ease', 'than', 'this', 'thing', 'does', '0']",[],"['in', 'summary', 'this', 'was', 'a', 'largely', 'disappointing', 'dining', 'experience', '0']","['for', 'a', 'product', 'that', 'cost', 'as', 'much', 'as', 'thi', 'one', 'doe', 'i', 'expect', 'it', 'to', 'work', 'far', 'better', 'and', 'with', 'greater', 'eas', 'than', 'thi', 'thing', 'doe', '0']",[],"['in', 'summari', 'thi', 'wa', 'a', 'larg', 'disappoint', 'dine', 'experi', '0']","['product', 'cost', 'much', 'thi', 'one', 'doe', 'expect', 'work', 'far', 'better', 'greater', 'eas', 'thi', 'thing', 'doe', '0']",[],"['summari', 'thi', 'wa', 'larg', 'disappoint', 'dine', 'experi', '0']",for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does 0 in summary this was a largely disappointing dining experience 0,for a product that cost as much as thi one doe i expect it to work far better and with greater eas than thi thing doe 0 in summari thi wa a larg disappoint dine experi 0,product cost much thi one doe expect work far better greater eas thi thing doe 0 summari thi wa larg disappoint dine experi 0,Neutral
Made very sturdy. 1,,It's like a really sexy party in your mouth  where you're outrageously flirting with the hottest person at the party. 1,made very sturdy 1,,it like a really sexy party in your mouth where you outrageously flirting with the hottest person at the party 1,,"['made', 'very', 'sturdy', '1']",[],"['it', 'like', 'a', 'really', 'sexy', 'party', 'in', 'your', 'mouth', 'where', 'you', 'outrageously', 'flirting', 'with', 'the', 'hottest', 'person', 'at', 'the', 'party', '1']","['made', 'veri', 'sturdi', '1']",[],"['it', 'like', 'a', 'realli', 'sexi', 'parti', 'in', 'your', 'mouth', 'where', 'you', 'outrag', 'flirt', 'with', 'the', 'hottest', 'person', 'at', 'the', 'parti', '1']","['made', 'veri', 'sturdi', '1']",[],"['like', 'realli', 'sexi', 'parti', 'mouth', 'outrag', 'flirt', 'hottest', 'person', 'parti', '1']",made very sturdy 1 it like a really sexy party in your mouth where you outrageously flirting with the hottest person at the party 1,made veri sturdi 1 it like a realli sexi parti in your mouth where you outrag flirt with the hottest person at the parti 1,made veri sturdi 1 like realli sexi parti mouth outrag flirt hottest person parti 1,Neutral
Worked great!. 1,,Never been to Hard Rock Casino before  WILL NEVER EVER STEP FORWARD IN IT AGAIN! 0,worked great 1,,never been to hard rock casino before will never ever step forward in it again 0,,"['worked', 'great', '1']",[],"['never', 'been', 'to', 'hard', 'rock', 'casino', 'before', 'will', 'never', 'ever', 'step', 'forward', 'in', 'it', 'again', '0']","['work', 'great', '1']",[],"['never', 'been', 'to', 'hard', 'rock', 'casino', 'befor', 'will', 'never', 'ever', 'step', 'forward', 'in', 'it', 'again', '0']","['work', 'great', '1']",[],"['never', 'hard', 'rock', 'casino', 'befor', 'never', 'ever', 'step', 'forward', '0']",worked great 1 never been to hard rock casino before will never ever step forward in it again 0,work great 1 never been to hard rock casino befor will never ever step forward in it again 0,work great 1 never hard rock casino befor never ever step forward 0,Neutral
The ear buds only play music in one ear. 0,,Best breakfast buffet!!! 1,the ear buds only play music in one ear 0,,best breakfast buffet 1,,"['the', 'ear', 'buds', 'only', 'play', 'music', 'in', 'one', 'ear', '0']",[],"['best', 'breakfast', 'buffet', '1']","['the', 'ear', 'bud', 'onli', 'play', 'music', 'in', 'one', 'ear', '0']",[],"['best', 'breakfast', 'buffet', '1']","['ear', 'bud', 'onli', 'play', 'music', 'one', 'ear', '0']",[],"['best', 'breakfast', 'buffet', '1']",the ear buds only play music in one ear 0 best breakfast buffet 1,the ear bud onli play music in one ear 0 best breakfast buffet 1,ear bud onli play music one ear 0 best breakfast buffet 1,Neutral
Dont waste your money... 0,,say bye bye to your tip lady! 0,dont waste your money 0,,say bye bye to your tip lady 0,,"['dont', 'waste', 'your', 'money', '0']",[],"['say', 'bye', 'bye', 'to', 'your', 'tip', 'lady', '0']","['dont', 'wast', 'your', 'money', '0']",[],"['say', 'bye', 'bye', 'to', 'your', 'tip', 'ladi', '0']","['dont', 'wast', 'money', '0']",[],"['say', 'bye', 'bye', 'tip', 'ladi', '0']",dont waste your money 0 say bye bye to your tip lady 0,dont wast your money 0 say bye bye to your tip ladi 0,dont wast money 0 say bye bye tip ladi 0,Neutral
Will order from them again! 1,,We'll never go again. 0,will order from them again 1,,we never go again 0,,"['will', 'order', 'from', 'them', 'again', '1']",[],"['we', 'never', 'go', 'again', '0']","['will', 'order', 'from', 'them', 'again', '1']",[],"['we', 'never', 'go', 'again', '0']","['order', '1']",[],"['never', 'go', '0']",will order from them again 1 we never go again 0,will order from them again 1 we never go again 0,order 1 never go 0,Neutral
If you plan to use this in a car forget about it. 0,,Will be back again! 1,if you plan to use this in a car forget about it 0,,will be back again 1,,"['if', 'you', 'plan', 'to', 'use', 'this', 'in', 'a', 'car', 'forget', 'about', 'it', '0']",[],"['will', 'be', 'back', 'again', '1']","['if', 'you', 'plan', 'to', 'use', 'thi', 'in', 'a', 'car', 'forget', 'about', 'it', '0']",[],"['will', 'be', 'back', 'again', '1']","['plan', 'use', 'thi', 'car', 'forget', '0']",[],"['back', '1']",if you plan to use this in a car forget about it 0 will be back again 1,if you plan to use thi in a car forget about it 0 will be back again 1,plan use thi car forget 0 back 1,Neutral
I found this product to be waaay too big. 0,,Food arrived quickly! 1,i found this product to be waaay too big 0,,food arrived quickly 1,,"['i', 'found', 'this', 'product', 'to', 'be', 'waaay', 'too', 'big', '0']",[],"['food', 'arrived', 'quickly', '1']","['i', 'found', 'thi', 'product', 'to', 'be', 'waaay', 'too', 'big', '0']",[],"['food', 'arriv', 'quickli', '1']","['found', 'thi', 'product', 'waaay', 'big', '0']",[],"['food', 'arriv', 'quickli', '1']",i found this product to be waaay too big 0 food arrived quickly 1,i found thi product to be waaay too big 0 food arriv quickli 1,found thi product waaay big 0 food arriv quickli 1,Neutral
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using. 1,,It was not good. 0,best i found so far i tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using 1,,it was not good 0,,"['best', 'i', 'found', 'so', 'far', 'i', 'tried', '2', 'other', 'bluetooths', 'and', 'this', 'one', 'has', 'the', 'best', 'quality', 'for', 'both', 'me', 'and', 'the', 'listener', 'as', 'well', 'as', 'ease', 'of', 'using', '1']",[],"['it', 'was', 'not', 'good', '0']","['best', 'i', 'found', 'so', 'far', 'i', 'tri', '2', 'other', 'bluetooth', 'and', 'thi', 'one', 'ha', 'the', 'best', 'qualiti', 'for', 'both', 'me', 'and', 'the', 'listen', 'as', 'well', 'as', 'eas', 'of', 'use', '1']",[],"['it', 'wa', 'not', 'good', '0']","['best', 'found', 'far', 'tri', '2', 'bluetooth', 'thi', 'one', 'ha', 'best', 'qualiti', 'listen', 'well', 'eas', 'use', '1']",[],"['wa', 'good', '0']",best i found so far i tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using 1 it was not good 0,best i found so far i tri 2 other bluetooth and thi one ha the best qualiti for both me and the listen as well as eas of use 1 it wa not good 0,best found far tri 2 bluetooth thi one ha best qualiti listen well eas use 1 wa good 0,Positive
I'm very disappointed with my decision. 0,,On the up side  their cafe serves really good food. 1,i very disappointed with my decision 0,,on the up side their cafe serves really good food 1,,"['i', 'very', 'disappointed', 'with', 'my', 'decision', '0']",[],"['on', 'the', 'up', 'side', 'their', 'cafe', 'serves', 'really', 'good', 'food', '1']","['i', 'veri', 'disappoint', 'with', 'my', 'decis', '0']",[],"['on', 'the', 'up', 'side', 'their', 'cafe', 'serv', 'realli', 'good', 'food', '1']","['veri', 'disappoint', 'decis', '0']",[],"['side', 'cafe', 'serv', 'realli', 'good', 'food', '1']",i very disappointed with my decision 0 on the up side their cafe serves really good food 1,i veri disappoint with my decis 0 on the up side their cafe serv realli good food 1,veri disappoint decis 0 side cafe serv realli good food 1,Positive
Integrated seamlessly with the Motorola RAZR phone. 1,,Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow  he added extra to our meal and another marrow to go! 1,integrated seamlessly with the motorola razr phone 1,,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go 1,,"['integrated', 'seamlessly', 'with', 'the', 'motorola', 'razr', 'phone', '1']",[],"['our', 'server', 'was', 'fantastic', 'and', 'when', 'he', 'found', 'out', 'the', 'wife', 'loves', 'roasted', 'garlic', 'and', 'bone', 'marrow', 'he', 'added', 'extra', 'to', 'our', 'meal', 'and', 'another', 'marrow', 'to', 'go', '1']","['integr', 'seamlessli', 'with', 'the', 'motorola', 'razr', 'phone', '1']",[],"['our', 'server', 'wa', 'fantast', 'and', 'when', 'he', 'found', 'out', 'the', 'wife', 'love', 'roast', 'garlic', 'and', 'bone', 'marrow', 'he', 'ad', 'extra', 'to', 'our', 'meal', 'and', 'anoth', 'marrow', 'to', 'go', '1']","['integr', 'seamlessli', 'motorola', 'razr', 'phone', '1']",[],"['server', 'wa', 'fantast', 'found', 'wife', 'love', 'roast', 'garlic', 'bone', 'marrow', 'ad', 'extra', 'meal', 'anoth', 'marrow', 'go', '1']",integrated seamlessly with the motorola razr phone 1 our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go 1,integr seamlessli with the motorola razr phone 1 our server wa fantast and when he found out the wife love roast garlic and bone marrow he ad extra to our meal and anoth marrow to go 1,integr seamlessli motorola razr phone 1 server wa fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go 1,Neutral
Buyer Beware  you could flush money right down the toilet. 0,,The only good thing was our waiter  he was very helpful and kept the bloddy mary's coming. 1,buyer beware you could flush money right down the toilet 0,,the only good thing was our waiter he was very helpful and kept the bloddy mary coming 1,,"['buyer', 'beware', 'you', 'could', 'flush', 'money', 'right', 'down', 'the', 'toilet', '0']",[],"['the', 'only', 'good', 'thing', 'was', 'our', 'waiter', 'he', 'was', 'very', 'helpful', 'and', 'kept', 'the', 'bloddy', 'mary', 'coming', '1']","['buyer', 'bewar', 'you', 'could', 'flush', 'money', 'right', 'down', 'the', 'toilet', '0']",[],"['the', 'onli', 'good', 'thing', 'wa', 'our', 'waiter', 'he', 'wa', 'veri', 'help', 'and', 'kept', 'the', 'bloddi', 'mari', 'come', '1']","['buyer', 'bewar', 'could', 'flush', 'money', 'right', 'toilet', '0']",[],"['onli', 'good', 'thing', 'wa', 'waiter', 'wa', 'veri', 'help', 'kept', 'bloddi', 'mari', 'come', '1']",buyer beware you could flush money right down the toilet 0 the only good thing was our waiter he was very helpful and kept the bloddy mary coming 1,buyer bewar you could flush money right down the toilet 0 the onli good thing wa our waiter he wa veri help and kept the bloddi mari come 1,buyer bewar could flush money right toilet 0 onli good thing wa waiter wa veri help kept bloddi mari come 1,Positive
Definitely a bargain. 1,,Best Buffet in town  for the price you cannot beat it. 1,definitely a bargain 1,,best buffet in town for the price you can not beat it 1,,"['definitely', 'a', 'bargain', '1']",[],"['best', 'buffet', 'in', 'town', 'for', 'the', 'price', 'you', 'can', 'not', 'beat', 'it', '1']","['definit', 'a', 'bargain', '1']",[],"['best', 'buffet', 'in', 'town', 'for', 'the', 'price', 'you', 'can', 'not', 'beat', 'it', '1']","['definit', 'bargain', '1']",[],"['best', 'buffet', 'town', 'price', 'beat', '1']",definitely a bargain 1 best buffet in town for the price you can not beat it 1,definit a bargain 1 best buffet in town for the price you can not beat it 1,definit bargain 1 best buffet town price beat 1,Neutral
The price was very good and with the free shipping and all it was a good purchase. 1,,I LOVED their mussels cooked in this wine reduction  the duck was tender  and their potato dishes were delicious. 1,the price was very good and with the free shipping and all it was a good purchase 1,,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious 1,,"['the', 'price', 'was', 'very', 'good', 'and', 'with', 'the', 'free', 'shipping', 'and', 'all', 'it', 'was', 'a', 'good', 'purchase', '1']",[],"['i', 'loved', 'their', 'mussels', 'cooked', 'in', 'this', 'wine', 'reduction', 'the', 'duck', 'was', 'tender', 'and', 'their', 'potato', 'dishes', 'were', 'delicious', '1']","['the', 'price', 'wa', 'veri', 'good', 'and', 'with', 'the', 'free', 'ship', 'and', 'all', 'it', 'wa', 'a', 'good', 'purchas', '1']",[],"['i', 'love', 'their', 'mussel', 'cook', 'in', 'thi', 'wine', 'reduct', 'the', 'duck', 'wa', 'tender', 'and', 'their', 'potato', 'dish', 'were', 'delici', '1']","['price', 'wa', 'veri', 'good', 'free', 'ship', 'wa', 'good', 'purchas', '1']",[],"['love', 'mussel', 'cook', 'thi', 'wine', 'reduct', 'duck', 'wa', 'tender', 'potato', 'dish', 'delici', '1']",the price was very good and with the free shipping and all it was a good purchase 1 i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious 1,the price wa veri good and with the free ship and all it wa a good purchas 1 i love their mussel cook in thi wine reduct the duck wa tender and their potato dish were delici 1,price wa veri good free ship wa good purchas 1 love mussel cook thi wine reduct duck wa tender potato dish delici 1,Positive
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger. 0,,This is one of the better buffets that I have been to. 1,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger 0,,this is one of the better buffets that i have been to 1,,"['i', 'received', 'my', 'supposedly', 'new', 'motorola', '375', 'and', 'apparently', 'there', 'was', 'not', 'a', 'match', 'between', 'the', 'phone', 'and', 'the', 'charger', '0']",[],"['this', 'is', 'one', 'of', 'the', 'better', 'buffets', 'that', 'i', 'have', 'been', 'to', '1']","['i', 'receiv', 'my', 'supposedli', 'new', 'motorola', '375', 'and', 'appar', 'there', 'wa', 'not', 'a', 'match', 'between', 'the', 'phone', 'and', 'the', 'charger', '0']",[],"['thi', 'is', 'one', 'of', 'the', 'better', 'buffet', 'that', 'i', 'have', 'been', 'to', '1']","['receiv', 'supposedli', 'new', 'motorola', '375', 'appar', 'wa', 'match', 'phone', 'charger', '0']",[],"['thi', 'one', 'better', 'buffet', '1']",i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger 0 this is one of the better buffets that i have been to 1,i receiv my supposedli new motorola 375 and appar there wa not a match between the phone and the charger 0 thi is one of the better buffet that i have been to 1,receiv supposedli new motorola 375 appar wa match phone charger 0 thi one better buffet 1,Neutral
Pros:-Good camera - very nice pictures   also has cool styles like black and white  and more. 1,,So we went to Tigerlilly and had a fantastic afternoon! 1,pros camera very nice pictures also has cool styles like black and white and more 1,,so we went to tigerlilly and had a fantastic afternoon 1,,"['pros', 'camera', 'very', 'nice', 'pictures', 'also', 'has', 'cool', 'styles', 'like', 'black', 'and', 'white', 'and', 'more', '1']",[],"['so', 'we', 'went', 'to', 'tigerlilly', 'and', 'had', 'a', 'fantastic', 'afternoon', '1']","['pro', 'camera', 'veri', 'nice', 'pictur', 'also', 'ha', 'cool', 'style', 'like', 'black', 'and', 'white', 'and', 'more', '1']",[],"['so', 'we', 'went', 'to', 'tigerlilli', 'and', 'had', 'a', 'fantast', 'afternoon', '1']","['pro', 'camera', 'veri', 'nice', 'pictur', 'also', 'ha', 'cool', 'style', 'like', 'black', 'white', '1']",[],"['went', 'tigerlilli', 'fantast', 'afternoon', '1']",pros camera very nice pictures also has cool styles like black and white and more 1 so we went to tigerlilly and had a fantastic afternoon 1,pro camera veri nice pictur also ha cool style like black and white and more 1 so we went to tigerlilli and had a fantast afternoon 1,pro camera veri nice pictur also ha cool style like black white 1 went tigerlilli fantast afternoon 1,Neutral
That's a huge design flaw (unless I'm not using it correctly  which I don't think is the case). 0,,The food was delicious  our bartender was attentive and personable AND we got a great deal! 1,that a huge design flaw unless i not using it correctly which i do think is the case 0,,the food was delicious our bartender was attentive and personable and we got a great deal 1,,"['that', 'a', 'huge', 'design', 'flaw', 'unless', 'i', 'not', 'using', 'it', 'correctly', 'which', 'i', 'do', 'think', 'is', 'the', 'case', '0']",[],"['the', 'food', 'was', 'delicious', 'our', 'bartender', 'was', 'attentive', 'and', 'personable', 'and', 'we', 'got', 'a', 'great', 'deal', '1']","['that', 'a', 'huge', 'design', 'flaw', 'unless', 'i', 'not', 'use', 'it', 'correctli', 'which', 'i', 'do', 'think', 'is', 'the', 'case', '0']",[],"['the', 'food', 'wa', 'delici', 'our', 'bartend', 'wa', 'attent', 'and', 'person', 'and', 'we', 'got', 'a', 'great', 'deal', '1']","['huge', 'design', 'flaw', 'unless', 'use', 'correctli', 'think', 'case', '0']",[],"['food', 'wa', 'delici', 'bartend', 'wa', 'attent', 'person', 'got', 'great', 'deal', '1']",that a huge design flaw unless i not using it correctly which i do think is the case 0 the food was delicious our bartender was attentive and personable and we got a great deal 1,that a huge design flaw unless i not use it correctli which i do think is the case 0 the food wa delici our bartend wa attent and person and we got a great deal 1,huge design flaw unless use correctli think case 0 food wa delici bartend wa attent person got great deal 1,Neutral
I love my 350 headset.. My Jabra350 bluetooth headset is great  the reception is very good and the ear piece is a comfortable fit. 1,,The ambience is wonderful and there is music playing. 1,i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit 1,,the ambience is wonderful and there is music playing 1,,"['i', 'love', 'my', '350', 'headset', 'my', 'jabra350', 'bluetooth', 'headset', 'is', 'great', 'the', 'reception', 'is', 'very', 'good', 'and', 'the', 'ear', 'piece', 'is', 'a', 'comfortable', 'fit', '1']",[],"['the', 'ambience', 'is', 'wonderful', 'and', 'there', 'is', 'music', 'playing', '1']","['i', 'love', 'my', '350', 'headset', 'my', 'jabra350', 'bluetooth', 'headset', 'is', 'great', 'the', 'recept', 'is', 'veri', 'good', 'and', 'the', 'ear', 'piec', 'is', 'a', 'comfort', 'fit', '1']",[],"['the', 'ambienc', 'is', 'wonder', 'and', 'there', 'is', 'music', 'play', '1']","['love', '350', 'headset', 'jabra350', 'bluetooth', 'headset', 'great', 'recept', 'veri', 'good', 'ear', 'piec', 'comfort', 'fit', '1']",[],"['ambienc', 'wonder', 'music', 'play', '1']",i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit 1 the ambience is wonderful and there is music playing 1,i love my 350 headset my jabra350 bluetooth headset is great the recept is veri good and the ear piec is a comfort fit 1 the ambienc is wonder and there is music play 1,love 350 headset jabra350 bluetooth headset great recept veri good ear piec comfort fit 1 ambienc wonder music play 1,Positive
The camera  although rated at an impressive 1.3 megapixels  renders images that fall well below expectations of such a relatively high resolution. 0,,Will go back next trip out. 1,the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution 0,,will go back next trip out 1,,"['the', 'camera', 'although', 'rated', 'at', 'an', 'impressive', 'megapixels', 'renders', 'images', 'that', 'fall', 'well', 'below', 'expectations', 'of', 'such', 'a', 'relatively', 'high', 'resolution', '0']",[],"['will', 'go', 'back', 'next', 'trip', 'out', '1']","['the', 'camera', 'although', 'rate', 'at', 'an', 'impress', 'megapixel', 'render', 'imag', 'that', 'fall', 'well', 'below', 'expect', 'of', 'such', 'a', 'rel', 'high', 'resolut', '0']",[],"['will', 'go', 'back', 'next', 'trip', 'out', '1']","['camera', 'although', 'rate', 'impress', 'megapixel', 'render', 'imag', 'fall', 'well', 'expect', 'rel', 'high', 'resolut', '0']",[],"['go', 'back', 'next', 'trip', '1']",the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution 0 will go back next trip out 1,the camera although rate at an impress megapixel render imag that fall well below expect of such a rel high resolut 0 will go back next trip out 1,camera although rate impress megapixel render imag fall well expect rel high resolut 0 go back next trip 1,Neutral
